,array_size,ShellSort_real_time,ShellSort_user_time,ShellSort_sys_time,ShellSort_maximum_resident_set_size,ShellSort_page_reclaims,ShellSort_voluntary_context_switches,ShellSort_involuntary_context_switches,ShellSort_instructions_retired,ShellSort_cycles_elapsed,ShellSort_peak_memory_footprint
0,10000.0,0.01,0.0,0.0,823296.0,323.0,1.0,26.0,37231470.0,23400787.0,405504.0
1,20000.0,0.03,0.01,0.0,864256.0,334.0,1.0,28.0,74610353.0,45492062.0,446464.0
2,30000.0,0.03,0.01,0.0,897024.0,339.0,1.0,8.0,110539461.0,59175331.0,479232.0
3,40000.0,0.04,0.02,0.0,983040.0,363.0,1.0,26.0,152378271.0,81555135.0,565248.0
4,50000.0,0.05,0.02,0.0,983040.0,360.0,2.0,25.0,192594809.0,102096388.0,565248.0
5,60000.0,0.06,0.03,0.0,1024000.0,370.0,1.0,11.0,227812894.0,120515896.0,606208.0
6,70000.0,0.07,0.03,0.0,1056768.0,378.0,1.0,37.0,275528699.0,145124753.0,638976.0
7,80000.0,0.08,0.04,0.0,1097728.0,388.0,2.0,4.0,324893592.0,168371472.0,679936.0
8,90000.0,0.09,0.05,0.0,1134592.0,397.0,1.0,9.0,349467013.0,185129160.0,716800.0
9,100000.0,0.1,0.05,0.0,1183744.0,409.0,1.0,6.0,409051006.0,212391717.0,765952.0
10,110000.0,0.11,0.06,0.0,1224704.0,419.0,1.0,6.0,437384813.0,230654249.0,806912.0
11,120000.0,0.13,0.06,0.0,1265664.0,429.0,1.0,5.0,481258633.0,250868029.0,847872.0
12,130000.0,0.14,0.07,0.0,1294336.0,436.0,1.0,4.0,522044249.0,274057458.0,876544.0
13,140000.0,0.15,0.08,0.0,1343488.0,449.0,1.0,24.0,593456686.0,310057075.0,925696.0
14,150000.0,0.16,0.08,0.0,1376256.0,456.0,2.0,45.0,598951858.0,314988980.0,958464.0
15,160000.0,0.17,0.09,0.0,1425408.0,468.0,1.0,13.0,684626576.0,353157879.0,1007616.0
16,170000.0,0.19,0.1,0.0,1458176.0,476.0,1.0,14.0,736877329.0,378837418.0,1040384.0
17,180000.0,0.19,0.1,0.0,1527808.0,493.0,1.0,10.0,736700881.0,385367282.0,1110016.0
18,190000.0,0.21,0.11,0.0,1544192.0,497.0,1.0,15.0,801225367.0,411455186.0,1126400.0
19,200000.0,0.22,0.12,0.0,1576960.0,505.0,1.0,13.0,857773841.0,442797946.0,1159168.0
20,210000.0,0.24,0.12,0.0,1626112.0,517.0,1.0,26.0,878222069.0,452048098.0,1208320.0
21,220000.0,0.24,0.13,0.0,1654784.0,524.0,1.0,24.0,911966155.0,474735101.0,1236992.0
22,230000.0,0.26,0.13,0.0,1695744.0,534.0,2.0,20.0,1005384106.0,514121549.0,1277952.0
23,240000.0,0.27,0.14,0.0,1769472.0,552.0,1.0,41.0,1012476807.0,525808898.0,1351680.0
24,250000.0,0.27,0.14,0.0,1777664.0,554.0,1.0,7.0,1065708132.0,544550011.0,1359872.0
25,260000.0,0.28,0.15,0.0,1822720.0,565.0,1.0,28.0,1086954527.0,545057246.0,1404928.0
26,270000.0,0.3,0.16,0.0,1863680.0,575.0,1.0,30.0,1163079999.0,601925189.0,1445888.0
27,280000.0,0.31,0.16,0.0,1896448.0,583.0,1.0,6.0,1242418994.0,632738361.0,1478656.0
28,290000.0,0.32,0.16,0.0,1945600.0,595.0,1.0,10.0,1215044859.0,629165841.0,1527808.0
